Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Almoez Ali,FW,qa Qatar,26-118,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.15,0.00,0.15,0.15,0.15,Matches
Alisson,GK,br Brazil,30-074,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Joe Allen,MF,wls Wales,32-276,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.10,0.05,0.15,0.10,0.15,Matches
Thiago Almada,MF,ar Argentina,21-233,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,3.16,3.16,0.00,3.16,Matches
Roberto Alvarado,FW,mx Mexico,24-099,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Edson Álvarez,MF,mx Mexico,25-052,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.11,0.12,0.01,0.12,Matches
Julián Álvarez,"FW,MF",ar Argentina,22-318,1.eng Manchester City,2000,6,4,362,4.0,4,0,4,0,0,0,0,0.99,0.00,0.99,0.99,0.99,2.6,2.6,0.1,2.6,0.64,0.02,0.66,0.64,0.66,Matches
Kevin Álvarez,DF,mx Mexico,23-334,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dani Alves,DF,br Brazil,39-223,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14,Matches
Selim Amallah,MF,ma Morocco,26-030,1.be Standard Liège,1996,6,4,384,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07,Matches
Daniel Amartey,DF,gh Ghana,27-359,1.eng Leicester City,1994,3,3,251,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.08,0.03,0.10,0.08,0.10,Matches
Ethan Ampadu,"MF,DF",wls Wales,22-092,1.it Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches
Sofyan Amrabat,MF,ma Morocco,26-116,1.it Fiorentina,1996,6,6,570,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
Abdulelah Al-Amri,DF,sa Saudi Arabia,25-334,1.sa Al-Nassr,1997,3,2,182,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Joachim Andersen,DF,dk Denmark,26-198,1.eng Crystal Palace,1996,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.2,0.3,0.03,0.08,0.11,0.03,0.11,Matches
Karim Ansarifard,"FW,MF",ir IR Iran,32-256,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.17,0.20,0.36,0.17,0.36,Matches
Antony,FW,br Brazil,22-294,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.15,0.08,0.22,0.15,0.22,Matches
Uriel Antuna,"FW,MF",mx Mexico,25-116,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.18,0.02,0.20,0.18,0.20,Matches
Néstor Araujo,DF,mx Mexico,31-108,1.mx América,1991,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Takuma Asano,FW,jp Japan,28-035,1.de Bochum,1994,4,0,165,1.8,1,0,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55,0.7,0.7,0.2,0.9,0.44,0.17,0.60,0.44,0.60,Matches
Marco Asensio,FW,es Spain,26-328,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,1.2,1.2,0.1,1.3,0.48,0.02,0.50,0.48,0.50,Matches
Ali Assadalla,MF,qa Qatar,29-330,1.qa Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
