Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ghaylène Chaalali,MF,tn Tunisia,28-290,1.tn Espérance de Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Chacón,MF,cr Costa Rica,21-248,1.cr CS Cartaginés,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kwon Chang-hoon,"FW,MF",kr Korea Republic,28-168,1.kr Sangju Sangmu,1994,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.29,0.29,0.00,0.29,Matches
Luis Chávez,MF,mx Mexico,26-334,1.mx Pachuca,1996,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.3,0.3,0.5,0.7,0.10,0.15,0.25,0.10,0.25,Matches
Walid Cheddira,FW,ma Morocco,24-327,2.it Bari,1998,2,0,64,0.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.24,0.00,1.24,1.24,1.24,Matches
Roozbeh Cheshmi,"DF,MF",ir IR Iran,29-144,1.ir Esteghlal,1993,2,1,58,0.6,1,0,1,0,0,0,0,1.55,0.00,1.55,1.55,1.55,0.1,0.1,0.0,0.1,0.08,0.00,0.08,0.08,0.08,Matches
Andreas Christensen,DF,dk Denmark,26-249,1.es Barcelona,1996,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.4,0.4,0.0,0.4,0.12,0.00,0.12,0.12,0.12,Matches
Hong Chul,DF,kr Korea Republic,32-089,1.kr Daegu,1990,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.13,0.13,0.00,0.13,Matches
José Cifuentes,MF,ec Ecuador,23-278,1.us Los Angeles FC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
Pathé Ciss,MF,sn Senegal,28-274,1.es Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Sebastián Coates,DF,uy Uruguay,32-069,1.pt Sporting CP,1990,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
Rubin Colwill,MF,wls Wales,20-232,2.eng Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.21,0.00,0.21,0.21,0.21,Matches
Kingsley Coman,FW,fr France,26-185,1.de Bayern Munich,1996,5,1,119,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.12,0.06,0.18,0.12,0.18,Matches
Eray Cömert,DF,ch Switzerland,24-314,1.es Valencia,1998,2,0,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Anthony Contreras,"FW,MF",cr Costa Rica,22-320,1.cr Club Sport Herediano,2000,3,2,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Andreas Cornelius,FW,dk Denmark,29-274,1.dk FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,1.00,0.09,1.09,1.00,1.09,Matches
Ángel Correa,MF,ar Argentina,27-281,1.es Atlético Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Diogo Costa,GK,pt Portugal,23-087,1.pt Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Thibaut Courtois,GK,be Belgium,30-218,1.es Real Madrid,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jason Cummings,FW,au Australia,27-136,1.au Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aimen Dahmen,GK,tn Tunisia,25-321,1.tn CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Diogo Dalot,DF,pt Portugal,23-272,1.eng Manchester Utd,1999,3,3,258,2.9,0,2,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,0.0,0.0,0.7,0.8,0.01,0.25,0.26,0.01,0.26,Matches
Mikkel Damsgaard,"MF,FW",dk Denmark,22-165,1.eng Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.20,0.20,0.00,0.20,Matches
Danilo,DF,br Brazil,31-153,1.it Juventus,1991,3,3,281,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Achraf Dari,DF,ma Morocco,23-223,1.fr Brest,1999,2,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan David,"FW,MF",ca Canada,22-335,1.fr Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,0.7,0.0,0.7,0.49,0.00,0.49,0.35,0.35,Matches
Alphonso Davies,"MF,DF",ca Canada,22-043,1.de Bayern Munich,2000,3,3,270,3.0,1,0,1,0,1,1,0,0.33,0.00,0.33,0.33,0.33,1.1,0.3,0.5,0.8,0.36,0.17,0.53,0.09,0.27,Matches
Ben Davies,DF,wls Wales,29-235,1.eng Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.00,0.13,0.13,0.13,Matches
Nasser Al-Dawsari,FW,sa Saudi Arabia,23-361,1.sa Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,1.27,1.27,0.00,1.27,Matches
Salem Al-Dawsari,MF,sa Saudi Arabia,31-118,1.sa Al-Hilal,1991,3,3,270,3.0,2,0,2,0,1,1,0,0.67,0.00,0.67,0.67,0.67,1.8,1.0,0.2,1.2,0.59,0.08,0.67,0.32,0.40,Matches
Giorgian De Arrascaeta,MF,uy Uruguay,28-197,1.br Flamengo,1994,2,1,108,1.2,2,0,2,0,0,0,0,1.67,0.00,1.67,1.67,1.67,1.2,1.2,0.5,1.7,1.01,0.45,1.45,1.01,1.45,Matches
Kevin De Bruyne,"FW,MF",be Belgium,31-170,1.eng Manchester City,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.08,0.30,0.38,0.08,0.38,Matches
Charles De Ketelaere,FW,be Belgium,21-280,1.it Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolás De La Cruz,MF,uy Uruguay,25-197,1.ar River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches
Rodrigo De Paul,MF,ar Argentina,28-205,1.es Atlético Madrid,1994,6,6,498,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.14,0.04,0.19,0.14,0.19,Matches
Miloš Degenek,DF,au Australia,28-231,1.us Columbus Crew,1994,4,2,183,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Delaney,MF,dk Denmark,31-103,1.es Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ousmane Dembélé,FW,fr France,25-214,1.es Barcelona,1997,6,5,393,4.4,0,2,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,0.5,0.5,1.6,2.1,0.11,0.38,0.49,0.11,0.49,Matches
Leander Dendoncker,"DF,MF",be Belgium,27-244,1.eng Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.05,0.20,0.25,0.05,0.25,Matches
Sergiño Dest,DF,us United States,22-042,1.it Milan,2000,4,4,305,3.4,0,1,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,0.2,0.2,0.5,0.7,0.07,0.15,0.22,0.07,0.22,Matches
Ángel Di María,"MF,FW",ar Argentina,34-304,1.it Juventus,1988,4,3,225,2.5,0,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,0.1,0.1,0.4,0.6,0.06,0.18,0.24,0.06,0.24,Matches
Boulaye Dia,FW,sn Senegal,26-029,1.it Salernitana,1996,4,4,318,3.5,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.7,0.7,0.0,0.8,0.21,0.01,0.22,0.21,0.22,Matches
Abdou Diallo,DF,sn Senegal,26-225,1.de RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches
Rúben Dias,DF,pt Portugal,25-215,1.eng Manchester City,1997,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Krépin Diatta,"FW,MF",sn Senegal,23-293,1.fr Monaco,1999,3,3,181,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.09,0.16,0.06,0.16,Matches
Famara Diedhiou,FW,sn Senegal,30-000,1.tr Alanyaspor,1992,2,1,92,1.0,1,0,1,0,0,0,0,0.98,0.00,0.98,0.98,0.98,0.2,0.2,0.0,0.2,0.19,0.03,0.22,0.19,0.22,Matches
Bamba Dieng,FW,sn Senegal,22-267,1.fr Marseille,2000,4,0,100,1.1,1,0,1,0,0,0,0,0.90,0.00,0.90,0.90,0.90,0.5,0.5,0.1,0.6,0.45,0.05,0.50,0.45,0.50,Matches
Eric Dier,DF,eng England,28-334,1.eng Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Axel Disasi,DF,fr France,24-279,1.fr Monaco,1998,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches
Alexander Djiku,"DF,FW",gh Ghana,28-128,1.fr Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ritsu Doan,FW,jp Japan,24-182,1.de Freiburg,1998,4,2,217,2.4,2,0,2,0,0,0,0,0.83,0.00,0.83,0.83,0.83,0.5,0.5,0.2,0.7,0.21,0.07,0.28,0.21,0.28,Matches
Jeremy Doku,"MF,FW",be Belgium,20-202,1.fr Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kasper Dolberg,FW,dk Denmark,25-070,1.es Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.31,0.05,0.37,0.31,0.37,Matches
Mohamed Dräger,DF,tn Tunisia,26-173,1.ch Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.01,0.15,0.14,0.15,Matches
Óscar Duarte,DF,cr Costa Rica,33-195,1.sa Al-Wehda,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.09,0.09,0.00,0.09,Matches
Mitchell Duke,FW,au Australia,31-331,2.jp Fagi Okayama,1991,4,4,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.4,0.4,0.0,0.4,0.12,0.01,0.13,0.12,0.13,Matches
Denzel Dumfries,DF,nl Netherlands,26-241,1.it Inter,1996,5,5,479,5.3,1,2,1,0,0,2,1,0.19,0.38,0.56,0.19,0.56,0.4,0.4,0.3,0.7,0.08,0.06,0.14,0.08,0.14,Matches
Paulo Dybala,FW,ar Argentina,29-030,1.it Roma,1993,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,1.03,1.03,0.00,1.03,Matches
Enzo Ebosse,DF,cm Cameroon,23-279,1.it Udinese,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ederson,GK,br Brazil,29-120,1.eng Manchester City,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jorge Eduardo Sánchez,DF,mx Mexico,25-005,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Nico Elvedi,DF,ch Switzerland,26-076,1.de M'Gladbach,1996,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
Breel Embolo,FW,ch Switzerland,25-304,1.fr Monaco,1997,4,4,323,3.6,2,0,2,0,0,0,0,0.56,0.00,0.56,0.56,0.56,2.3,2.3,0.1,2.4,0.64,0.03,0.66,0.64,0.66,Matches
Youssef En-Nesyri,FW,ma Morocco,25-197,1.es Sevilla,1997,6,6,452,5.0,2,0,2,0,0,0,0,0.40,0.00,0.40,0.40,0.40,0.8,0.8,0.0,0.9,0.17,0.01,0.17,0.17,0.17,Matches
Wataru Endo,MF,jp Japan,29-309,1.de Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.6,0.06,0.15,0.21,0.06,0.21,Matches
Devis Epassy,GK,cm Cameroon,29-316,1.sa Abha,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Christian Eriksen,MF,dk Denmark,30-304,1.eng Manchester Utd,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.06,0.14,0.20,0.06,0.20,Matches
Michael Estrada,FW,ec Ecuador,26-252,1.mx Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.01,0.13,0.13,0.13,Matches
Pervis Estupiñán,DF,ec Ecuador,24-328,1.eng Brighton,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.02,0.09,0.11,0.02,0.11,Matches
Stephen Eustáquio,MF,ca Canada,25-359,1.pt Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.13,0.11,0.24,0.13,0.24,Matches
Saeid Ezatolahi,MF,ir IR Iran,26-075,2.dk Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.08,0.12,0.04,0.12,Matches
Abdessamad Ezzalzouli,"FW,MF",ma Morocco,20-363,1.es Osasuna,2001,3,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.09,0.57,0.66,0.09,0.66,Matches
Fabinho,MF,br Brazil,29-053,1.eng Liverpool,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Collins Fai,DF,cm Cameroon,30-124,1.sa Al-Ta'ee,1992,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
Salman Al-Faraj,MF,sa Saudi Arabia,33-136,1.sa Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Christian Fassnacht,FW,ch Switzerland,29-034,1.ch Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,2.58,0.00,2.58,2.58,2.58,Matches
Abdul Fatawu Issahaku,FW,gh Ghana,18-282,1.pt Sporting CP,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ansu Fati,FW,es Spain,20-045,1.es Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
João Félix,FW,pt Portugal,23-035,1.es Atlético Madrid,1999,4,4,331,3.7,1,2,1,0,0,1,0,0.27,0.54,0.82,0.27,0.82,0.9,0.9,0.4,1.2,0.24,0.10,0.34,0.24,0.34,Matches
Bruno Fernandes,"FW,MF",pt Portugal,28-098,1.eng Manchester Utd,1994,4,4,356,4.0,2,3,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2.0,0.28,0.42,0.71,0.08,0.51,Matches
Edimilson Fernandes,"FW,DF",ch Switzerland,26-244,1.de Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.02,0.21,0.23,0.02,0.23,Matches
Enzo Fernández,MF,ar Argentina,21-332,1.pt Benfica,2001,6,4,444,4.9,1,1,1,0,0,0,0,0.20,0.20,0.41,0.20,0.41,0.2,0.2,0.8,1.0,0.04,0.16,0.21,0.04,0.21,Matches
Jesús Ferreira,FW,us United States,21-356,1.us FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Phil Foden,"FW,MF",eng England,22-201,1.eng Manchester City,2000,4,3,258,2.9,1,2,1,0,0,0,0,0.35,0.70,1.05,0.35,1.05,1.1,1.1,0.6,1.6,0.38,0.20,0.57,0.38,0.57,Matches
Youssouf Fofana,MF,fr France,23-339,1.fr Monaco,1999,5,2,202,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.07,0.13,0.06,0.13,Matches
Juan Foyth,DF,ar Argentina,24-337,1.es Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alan Franco,MF,ec Ecuador,24-116,1.ar Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Przemysław Frankowski,MF,pl Poland,27-247,1.fr Lens,1995,4,3,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.01,0.09,0.11,0.01,0.11,Matches
Fred,MF,br Brazil,29-285,1.eng Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.6,0.23,0.16,0.39,0.23,0.39,Matches
Fabian Frei,MF,ch Switzerland,33-341,1.ch Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Remo Freuler,MF,ch Switzerland,30-244,1.eng Nott'ham Forest,1992,4,4,323,3.6,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,0.5,0.5,0.0,0.5,0.14,0.00,0.14,0.14,0.14,Matches
Keysher Fuller,"DF,MF",cr Costa Rica,28-157,1.cr Club Sport Herediano,1994,3,3,253,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.4,0.4,0.2,0.5,0.14,0.05,0.19,0.14,0.19,Matches
Niclas Füllkrug,FW,de Germany,29-309,1.de Werder Bremen,1993,3,0,69,0.8,2,1,2,0,0,0,0,2.61,1.30,3.91,2.61,3.91,2.2,2.2,0.6,2.8,2.86,0.76,3.62,2.86,3.62,Matches
Rogelio Funes Mori,FW,mx Mexico,31-285,1.mx Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.23,0.00,1.23,1.23,1.23,Matches
Cody Gakpo,"FW,MF",nl Netherlands,23-222,1.nl PSV Eindhoven,1999,5,5,450,5.0,3,0,3,0,0,0,0,0.60,0.00,0.60,0.60,0.60,0.3,0.3,0.6,0.9,0.06,0.12,0.18,0.06,0.18,Matches
Hernán Galíndez,GK,ec Ecuador,35-260,1.ec SD Aucas,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jesús Gallardo,DF,mx Mexico,28-122,1.mx Monterrey,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.01,0.05,0.04,0.05,Matches
Idrissa Gana Gueye,MF,sn Senegal,33-080,1.eng Everton,1989,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.11,0.03,0.14,0.11,0.14,Matches
Gavi,MF,es Spain,18-132,1.es Barcelona,2004,4,4,284,3.2,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches
Sultan Al-Ghanam,"DF,MF",sa Saudi Arabia,28-223,1.sa Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.12,0.05,0.17,0.12,0.17,Matches
Nader Ghandri,DF,tn Tunisia,27-300,1.tn Club Africain,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Saman Ghoddos,MF,ir IR Iran,29-100,1.eng Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.36,0.05,0.41,0.36,0.41,Matches
Ali Gholizadeh,"MF,FW",ir IR Iran,26-280,1.be Charleroi,1996,3,2,199,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.0,0.0,0.2,0.2,0.01,0.07,0.09,0.01,0.09,Matches
Matthias Ginter,DF,de Germany,28-330,1.de Freiburg,1994,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Olivier Giroud,FW,fr France,36-076,1.it Milan,1986,5,5,379,4.2,4,0,4,0,0,0,0,0.95,0.00,0.95,0.95,0.95,3.3,3.3,0.1,3.5,0.79,0.04,0.83,0.79,0.83,Matches
Kamil Glik,DF,pl Poland,34-315,2.it Benevento,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
Serge Gnabry,"FW,MF",de Germany,27-154,1.de Bayern Munich,1995,3,3,263,2.9,1,1,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,1.1,1.1,1.5,2.6,0.37,0.51,0.88,0.37,0.88,Matches
Diego Godín,DF,uy Uruguay,36-302,1.ar Vélez Sarsf,1986,2,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Maxi Gómez,FW,uy Uruguay,26-123,1.tr Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.26,0.00,0.26,0.26,0.26,Matches
Papu Gómez,"MF,FW",ar Argentina,34-303,1.es Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
Shūichi Gonda,GK,jp Japan,33-287,1.jp S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Craig Goodwin,MF,au Australia,30-364,1.au Adelaide,1991,4,3,234,2.6,1,1,1,0,0,0,0,0.38,0.38,0.77,0.38,0.77,0.3,0.3,0.6,0.9,0.11,0.25,0.36,0.11,0.36,Matches
Leon Goretzka,MF,de Germany,27-312,1.de Bayern Munich,1995,3,2,159,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.26,0.01,0.27,0.26,0.27,Matches
Mario Götze,MF,de Germany,30-195,1.de Eint Frankfurt,1992,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.21,0.29,0.50,0.21,0.50,Matches
